종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
LG화학,356361,51910,화학,8.0,화학,G151010,2016_4,70750000.0,14974,"20,487,060,000,000","6,436,093,000,000","14,050,967,000,000","20,659,296,000,000","1,280,994,000,000",250000,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2017_1,19600000.0,16834,"22,171,179,000,000","7,265,334,000,000","14,905,845,000,000","6,486,668,000,000","548,097,000,000",298000,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2017_2,36800000.0,16750,"22,671,119,000,000","7,136,483,000,000","15,534,636,000,000","6,382,062,000,000","590,322,000,000",281000,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2017_3,57500000.0,16930,"23,707,550,000,000","7,585,752,000,000","16,121,798,000,000","6,397,083,000,000","545,452,000,000",396500,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2017_4,76200000.0,16839,"25,041,221,000,000","8,702,644,000,000","16,338,577,000,000","25,698,014,000,000","2,021,973,000,000",407000,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2018_1,19500000.0,17457,"26,415,499,000,000","9,905,259,000,000","16,510,240,000,000","6,553,590,000,000","552,744,000,000",394000,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2018_2,40800000.0,17638,"27,399,282,000,000","10,390,608,000,000","17,008,674,000,000","7,051,853,000,000","493,395,000,000",332500,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2018_3,55500000.0,18348,"28,419,260,000,000","11,161,946,000,000","17,257,314,000,000","7,234,858,000,000","346,600,000,000",365500,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2018_4,75000000.0,18431,"28,944,137,000,000","11,622,009,000,000","17,322,128,000,000","28,183,013,000,000","1,519,312,000,000",351000,"70,592,343"
LG화학,356361,51910,화학,8.0,화학,G151010,2019_1,24900000.0,19655,"31,212,285,000,000","14,012,994,000,000","17,199,291,000,000","6,639,073,000,000","211,938,000,000",367000,"70,592,343"
